"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CHE","Switzerland","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0,,
"GBR","United Kingdom","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.5,,
"EST","Estonia","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,5.7,,
"LVA","Latvia","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,11.2,,
"SVN","Slovenia","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.2,,
"AUT","Austria","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,20.8,,
"BEL","Belgium","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,20,,
"CZE","Czech Republic","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,23.4,,
"DNK","Denmark","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,23.3,,
"FIN","Finland","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,23.1,,
"FRA","France","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,20.7,,
"DEU","Germany","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,20,,
"GRC","Greece","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,21.8,,
"HUN","Hungary","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,19.9,,
"IRL","Ireland","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,20.6,,
"ITA","Italy","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,22.5,,
"LUX","Luxembourg","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,20.7,,
"NLD","Netherlands","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,19.6,,
"NOR","Norway","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,17.7,,
"POL","Poland","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,21.2,,
"PRT","Portugal","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,19.6,,
"SVK","Slovak Republic","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,27.4,,
"ESP","Spain","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,21.7,,
"SWE","Sweden","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,20.1,,
"CHE","Switzerland","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,21.4,,
"GBR","United Kingdom","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,23.2,,
"EST","Estonia","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,17,,
"LVA","Latvia","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,20.8,,
"SVN","Slovenia","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,18.2,,
"AUT","Austria","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,86,,
"BEL","Belgium","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,56,,
"CZE","Czech Republic","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,77,,
"DNK","Denmark","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,85,,
"FIN","Finland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,88,,
"FRA","France","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,74,,
"DEU","Germany","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,76,,
"GRC","Greece","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,69,,
"HUN","Hungary","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,74,,
"ISL","Iceland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,85,,
"IRL","Ireland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,76,,
"ITA","Italy","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,73,,
"LUX","Luxembourg","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,87,,
"NLD","Netherlands","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,83,,
"NOR","Norway","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,93,,
"POL","Poland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,71,,
"PRT","Portugal","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,83,,
"SVK","Slovak Republic","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,76,,
"ESP","Spain","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,80,,
"SWE","Sweden","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,79,,
"CHE","Switzerland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,86,,
"GBR","United Kingdom","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,78,,
"EST","Estonia","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,79,,
"LVA","Latvia","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,72,,
"SVN","Slovenia","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,91,,
"AUT","Austria","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,89,,
"BEL","Belgium","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,66,,
"CZE","Czech Republic","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,88,,
"DNK","Denmark","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,94,,
"FIN","Finland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,96,,
"FRA","France","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,78,,
"DEU","Germany","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,83,,
"GRC","Greece","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,79,,
"HUN","Hungary","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,83,,
"ISL","Iceland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,93,,
"IRL","Ireland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,86,,
"ITA","Italy","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,79,,
"LUX","Luxembourg","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,89,,
"NLD","Netherlands","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,95,,
"NOR","Norway","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,98,,
"POL","Poland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,80,,
"PRT","Portugal","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,92,,
"SVK","Slovak Republic","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,86,,
"ESP","Spain","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,86,,
"SWE","Sweden","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,90,,
"CHE","Switzerland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,91,,
"GBR","United Kingdom","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,80,,
"EST","Estonia","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,90,,
"LVA","Latvia","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,87,,
"SVN","Slovenia","PS_FSAFEN","Feeling safe walking alone at night","L","Value","MN","Men","PC","Percentage","0","Units",,,95,,
"AUT","Austria","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,82,,
"BEL","Belgium","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,47,,
"CZE","Czech Republic","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,67,,
"DNK","Denmark","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,77,,
"FIN","Finland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,80,,
"FRA","France","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,70,,
"DEU","Germany","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,69,,
"GRC","Greece","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,59,,
"HUN","Hungary","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,65,,
"ISL","Iceland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,78,,
"IRL","Ireland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,67,,
"ITA","Italy","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,67,,
"LUX","Luxembourg","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,84,,
"NLD","Netherlands","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,72,,
"NOR","Norway","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,89,,
"POL","Poland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,63,,
"PRT","Portugal","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,75,,
"SVK","Slovak Republic","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,67,,
"ESP","Spain","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,75,,
"SWE","Sweden","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,68,,
"CHE","Switzerland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,81,,
"GBR","United Kingdom","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,77,,
"EST","Estonia","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,71,,
"LVA","Latvia","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,61,,
"SVN","Slovenia","PS_FSAFEN","Feeling safe walking alone at night","L","Value","WMN","Women","PC","Percentage","0","Units",,,85,,
"AUT","Austria","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.6,,
"BEL","Belgium","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,2.1,,
"CZE","Czech Republic","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.5,,
"DNK","Denmark","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.9,,
"FIN","Finland","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.9,,
"FRA","France","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.8,,
"DEU","Germany","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.8,,
"GRC","Greece","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.2,,
"HUN","Hungary","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.4,,
"ISL","Iceland","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.6,,
"IRL","Ireland","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,2.1,,
"ITA","Italy","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.4,,
"LUX","Luxembourg","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,2,,
"NLD","Netherlands","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,2,,
"NOR","Norway","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,2.1,,
"POL","Poland","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.1,,
"PRT","Portugal","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.7,,
"SVK","Slovak Republic","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.1,,
"ESP","Spain","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.9,,
"SWE","Sweden","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.7,,
"CHE","Switzerland","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.9,,
"GBR","United Kingdom","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,2,,
"EST","Estonia","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.7,,
"LVA","Latvia","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.2,,
"SVN","Slovenia","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.6,,
"AUT","Austria","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,37001,,
"BEL","Belgium","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,34884,,
"CZE","Czech Republic","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,26664,,
"DNK","Denmark","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,33774,,
"FIN","Finland","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,33471,,
"FRA","France","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,34375,,
"DEU","Germany","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,38971,,
"GRC","Greece","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,20791,,
"HUN","Hungary","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,21026,,
"IRL","Ireland","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,29488,,
"ITA","Italy","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,29431,,
"LUX","Luxembourg","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,44773,,
"NLD","Netherlands","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,34984,,
"NOR","Norway","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,39144,,
"POL","Poland","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,23675,,
"PRT","Portugal","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,24877,,
"SVK","Slovak Republic","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,21149,,
"ESP","Spain","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,27155,,
"SWE","Sweden","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,33730,,
"CHE","Switzerland","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,39697,,
"GBR","United Kingdom","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,33049,,
"EST","Estonia","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,23784,,
"LVA","Latvia","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,19783,,
